order_item_id,order_id,product_id,quantity,unit_price,Total_Amount
OD000001,O000001,P0088,4,264.57,1058.28
OD000002,O000001,P0100,3,433.17,1299.51
OD000003,O000001,P0096,2,203.18,406.36
OD000004,O000001,P0007,5,448.25,2241.25
OD000005,O000001,P0078,3,240.25,720.75
OD000006,O000002,P0080,2,138.38,276.76
OD000007,O000002,P0033,1,277.39,277.39
OD000008,O000003,P0005,2,373.51,747.02
OD000009,O000003,P0075,1,334.61,334.61
OD000010,O000003,P0047,3,68.48,205.44
OD000011,O000003,P0094,3,222.64,667.92
OD000012,O000004,P0017,5,125.81,629.05
OD000013,O000004,P0101,3,25.51,76.53
OD000014,O000005,P0035,3,201.7,605.1
OD000015,O000005,P0022,1,355.11,355.11
OD000016,O000005,P0033,4,277.39,1109.56
OD000017,O000005,P0062,1,327.2,327.2
OD000018,O000005,P0038,2,316.89,633.78
OD000019,O000006,P0072,1,472.6,472.6
OD000020,O000006,P0047,3,68.48,205.44
OD000021,O000006,P0012,5,262.57,1312.85
OD000022,O000006,P0051,1,197.69,197.69
OD000023,O000007,P0075,3,334.61,1003.83
OD000024,O000007,P0049,1,325.13,325.13
OD000025,O000007,P0082,2,146.12,292.24
OD000026,O000008,P0072,1,472.6,472.6
OD000027,O000008,P0042,4,42,168
OD000028,O000008,P0079,3,147.14,441.42
OD000029,O000008,P0029,4,426.8,1707.2
OD000030,O000008,P0083,1,300.6,300.6
OD000031,O000009,P0005,3,373.51,1120.53
OD000032,O000010,P0031,5,407.42,2037.1
OD000033,O000011,P0059,5,98.43,492.15
OD000034,O000011,P0048,4,153.43,613.72
OD000035,O000011,P0086,5,125.27,626.35
OD000036,O000011,P0096,2,203.18,406.36
OD000037,O000012,P0005,2,373.51,747.02
OD000038,O000012,P0089,4,63.64,254.56
OD000039,O000012,P0048,4,153.43,613.72
OD000040,O000013,P0013,5,32.74,163.7
OD000041,O000013,P0088,3,264.57,793.71
OD000042,O000013,P0048,1,153.43,153.43
OD000043,O000014,P0025,1,479.46,479.46
OD000044,O000014,P0016,2,281.57,563.14
OD000045,O000014,P0059,5,98.43,492.15
OD000046,O000015,P0032,5,370.27,1851.35
OD000047,O000015,P0017,2,125.81,251.62
OD000048,O000015,P0101,1,25.51,25.51
OD000049,O000016,P0028,5,66.42,332.1
OD000050,O000016,P0030,1,309.79,309.79
OD000051,O000016,P0043,3,129.39,388.17
OD000052,O000016,P0100,2,433.17,866.34
OD000053,O000016,P0019,2,408.53,817.06
OD000054,O000017,P0023,1,183.32,183.32
OD000055,O000017,P0015,2,331.94,663.88
OD000056,O000017,P0085,1,211.71,211.71
OD000057,O000018,P0076,1,209.9,209.9
OD000058,O000018,P0042,2,42,84
OD000059,O000019,P0017,4,125.81,503.24
OD000060,O000020,P0096,1,203.18,203.18
OD000061,O000021,P0076,5,209.9,1049.5
OD000062,O000021,P0014,1,115.44,115.44
OD000063,O000021,P0058,5,369.98,1849.9
OD000064,O000021,P0065,3,424.57,1273.71
OD000065,O000021,P0029,4,426.8,1707.2
OD000066,O000022,P0052,4,120.56,482.24
OD000067,O000022,P0055,4,331.06,1324.24
OD000068,O000022,P0088,1,264.57,264.57
OD000069,O000022,P0014,1,115.44,115.44
OD000070,O000023,P0017,3,125.81,377.43
