order_id,customer_id,order_date,order_amount
O000001,C00001,08-06-23,5726.15
O000002,C00001,10-01-24,554.15
O000003,C00002,02-01-24,1954.99
O000004,C00003,23-05-23,705.58
O000005,C00003,21-05-24,3030.75
O000006,C00003,14-07-23,2188.58
O000007,C00004,25-11-24,1621.2
O000008,C00004,09-12-23,3089.82
O000009,C00004,05-04-24,1120.53
O000010,C00005,23-08-24,2037.1
O000011,C00005,12-09-24,2138.58
O000012,C00007,16-07-24,1615.3
O000013,C00007,22-01-24,1110.84
O000014,C00007,06-07-24,1534.75
O000015,C00008,25-06-22,2128.48
O000016,C00009,28-01-23,2713.46
O000017,C00009,04-01-24,1058.91
O000018,C00009,01-07-23,293.9
O000019,C00009,28-03-23,503.24
O000020,C00009,20-12-23,203.18
O000021,C00010,26-11-24,5995.75
O000022,C00011,08-03-23,2186.49
O000023,C00012,28-11-23,377.43
O000024,C00013,24-06-24,3837.94
O000025,C00015,20-08-24,2104.68
O000026,C00015,26-07-23,3006.18
O000027,C00015,31-08-23,759.54
O000028,C00015,11-12-24,1050.28
O000029,C00015,19-11-22,3300.7
O000030,C00016,25-07-23,3991.43
O000031,C00016,16-03-24,855.25
O000032,C00017,21-01-24,3933.74
O000033,C00017,03-04-24,3982.44
O000034,C00018,07-11-23,1246.9
O000035,C00019,23-05-23,2463.89
O000036,C00020,08-10-24,1945.94
O000037,C00020,19-01-24,46.24
O000038,C00021,20-10-22,806.8
O000039,C00021,08-07-24,2322.86
O000040,C00021,19-08-23,5124.67
O000041,C00021,13-04-23,2347.8
O000042,C00021,23-06-23,2477.34
O000043,C00022,25-06-24,1746.31
O000044,C00022,07-02-24,312.38
O000045,C00022,11-04-24,1790.95
O000046,C00022,11-03-24,2599.75
O000047,C00023,13-08-24,2351.86
O000048,C00023,13-06-24,2434.96
O000049,C00023,24-08-23,2961.57
O000050,C00023,18-11-23,286.49
O000051,C00024,11-05-24,5775.4
O000052,C00024,01-04-23,3525.97
O000053,C00024,07-04-23,2432.61
O000054,C00024,10-04-23,735.7
O000055,C00025,05-07-24,3080.23
O000056,C00025,07-10-24,1504.99
O000057,C00025,29-08-24,2564.63
O000058,C00026,18-09-24,3300.19
O000059,C00026,22-10-22,6417.06
O000060,C00026,27-05-24,827.46
O000061,C00026,18-03-24,1485.65
O000062,C00027,15-04-24,668.97
O000063,C00028,03-03-24,1402.75
O000064,C00028,02-10-24,103.66
O000065,C00029,03-10-24,3355.48
O000066,C00029,19-01-23,1290.44
O000067,C00029,13-08-24,3121.1
O000068,C00029,14-09-24,4289.91
O000069,C00029,31-10-23,6904.09
O000070,C00031,02-11-23,1202.4
O000071,C00031,05-03-24,4364.43
O000072,C00032,22-12-24,1707.2
O000073,C00033,18-11-22,2572.12
O000074,C00033,08-06-23,358.19
O000075,C00034,22-03-24,2330.26
O000076,C00035,27-02-24,3691.27
O000077,C00035,18-03-23,2400.94
O000078,C00035,09-09-24,5035.38
O000079,C00035,29-11-24,1972.19
O000080,C00036,22-10-23,2931.55
O000081,C00036,21-07-24,3461.49
O000082,C00037,25-12-24,1281.19
O000083,C00038,08-10-23,658.7
O000084,C00038,05-05-24,2790.96
O000085,C00039,30-08-24,1284.68
O000086,C00040,26-12-23,889.53
O000087,C00041,03-12-24,2987.63
O000088,C00042,01-09-24,613.72
O000089,C00043,10-03-24,1742.55
O000090,C00043,09-11-23,890.56
O000091,C00043,30-04-23,1914.57
O000092,C00043,16-12-24,2889.48
O000093,C00044,12-07-24,667.92
O000094,C00044,31-12-24,1955.53
O000095,C00044,13-05-23,1459.82
O000096,C00045,20-05-23,2201.31
O000097,C00045,08-04-24,4282.48
O000098,C00047,05-10-24,2704
O000099,C00047,19-12-24,5328.63
O000100,C00047,23-03-24,1548.52
O000101,C00047,16-02-24,779.92
O000102,C00048,26-06-24,860.23
O000103,C00048,09-04-24,363.14
O000104,C00051,23-12-24,1257.78
O000105,C00051,28-03-24,4556.89
O000106,C00051,22-09-23,2483.84
O000107,C00051,25-09-23,2843.78
O000108,C00051,20-10-23,2140.59
O000109,C00052,23-02-23,1200.76
O000110,C00052,25-08-24,5588.24
O000111,C00053,09-11-23,124.95
O000112,C00054,24-08-24,2799.73
O000113,C00054,28-12-23,3298.64
O000114,C00054,26-09-24,2265.84
O000115,C00054,22-06-24,3379.1
O000116,C00055,04-12-24,3470.8
O000117,C00056,15-08-22,2093.29
O000118,C00057,27-06-24,3129.83
O000119,C00057,02-12-24,4064.75
O000120,C00057,19-03-24,4769.85
O000121,C00057,26-10-24,2351.86
O000122,C00058,16-10-23,5445.31
O000123,C00058,29-09-24,3204.91
O000124,C00058,16-09-24,3572.86
O000125,C00059,23-11-24,5747.52
O000126,C00059,29-02-24,3599.88
O000127,C00059,17-09-24,3690.33
O000128,C00060,21-08-24,5360.37
O000129,C00061,25-04-23,4106.38
O000130,C00062,20-08-24,479.46
O000131,C00062,28-11-23,1772.41
O000132,C00062,04-11-24,2214.21
O000133,C00062,12-07-24,3758.46
O000134,C00062,31-08-23,3673.18
O000135,C00063,31-03-23,2862.57
O000136,C00063,17-12-23,3242.9
O000137,C00063,05-07-24,3059.69
O000138,C00064,16-04-24,1421.35
O000139,C00065,15-02-24,2491.79
O000140,C00065,08-02-24,130.96
O000141,C00065,18-05-24,3539.23
O000142,C00066,05-09-24,2748.75
O000143,C00066,05-07-23,2254.75
O000144,C00066,29-12-23,3667.68
O000145,C00067,05-03-24,2168.1
O000146,C00067,15-05-24,3785.1
O000147,C00068,13-12-24,3442.73
O000148,C00068,18-08-24,4009.2
O000149,C00069,01-09-24,1532.67
O000150,C00069,28-06-23,2917.56
O000151,C00070,24-05-22,1034.02
O000152,C00070,01-09-23,2660.2
O000153,C00070,26-02-24,2308.34
O000154,C00070,16-10-22,3683.23
O000155,C00070,01-07-24,1820.99
O000156,C00071,01-01-24,3127.55
O000157,C00071,02-04-24,1943.55
O000158,C00071,28-01-23,1619.29
O000159,C00071,06-03-24,1662.17
O000160,C00071,25-04-24,3590.89
O000161,C00072,18-05-24,993.18
O000162,C00072,09-05-24,4430.27
O000163,C00073,07-02-24,1322.85
O000164,C00073,04-06-23,2385.72
O000165,C00073,04-09-23,498.14
O000166,C00075,24-04-24,2476.9
O000167,C00075,22-12-24,2969.51
O000168,C00075,21-03-23,3500.3
O000169,C00075,12-10-23,3910.06
O000170,C00076,13-05-24,4538.46
O000171,C00076,13-07-23,3063.36
O000172,C00076,29-01-24,233.2
O000173,C00076,21-11-24,3017.46
O000174,C00076,13-05-23,1157.76
O000175,C00078,09-10-23,3487.74
O000176,C00078,11-11-22,5698.51
O000177,C00078,09-11-24,3314.83
O000178,C00078,19-02-23,812.72
O000179,C00080,03-12-24,4345.65
O000180,C00081,22-12-23,3205.44
O000181,C00081,27-09-23,881.32
O000182,C00081,28-08-24,3195.55
O000183,C00081,15-03-24,1892.89
O000184,C00081,24-12-23,4874.41
O000185,C00082,09-05-23,2042.18
O000186,C00082,12-02-24,909.04
O000187,C00083,08-04-24,1637.29
O000188,C00084,01-11-24,760.05
O000189,C00084,14-06-24,4937.75
O000190,C00084,06-02-24,2812.44
O000191,C00085,14-07-24,1468.02
O000192,C00087,04-12-22,1309.56
O000193,C00088,29-03-24,1716.01
O000194,C00090,02-04-23,772
O000195,C00091,10-02-24,4616.56
O000196,C00091,16-08-24,130.96
O000197,C00092,29-11-23,3587.15
O000198,C00094,27-09-24,3258.35
O000199,C00094,24-05-24,1825.07
O000200,C00094,22-12-22,1822.69
O000201,C00095,08-02-24,922.87
O000202,C00096,11-03-23,1679.51
O000203,C00097,13-06-23,2002.15
O000204,C00097,13-11-23,4155.08
O000205,C00097,13-05-23,2104.46
O000206,C00097,17-07-24,205.44
O000207,C00097,17-11-23,1396.4
O000208,C00098,29-04-23,5382.77
O000209,C00098,04-05-24,2087.16
O000210,C00098,15-04-23,812.4
O000211,C00098,22-04-23,1150.31
O000212,C00099,13-04-24,1927.22
O000213,C00099,02-03-24,2771.24
O000214,C00099,26-12-23,5872.14
O000215,C00099,18-11-23,1132
O000216,C00100,07-09-23,3717.08
O000217,C00100,10-12-23,2978.3
O000218,C00100,04-11-24,5085.97
O000219,C00101,29-01-23,2309.85
O000220,C00101,30-09-23,1773.35
O000221,C00101,22-10-24,2226.39
O000222,C00101,06-09-24,992.99
O000223,C00102,18-02-24,2673.72
O000224,C00102,16-03-24,1744.95
O000225,C00102,10-10-24,145.26
O000226,C00102,05-04-24,3675.93
O000227,C00102,17-03-24,980.43
O000228,C00103,04-11-24,3530.92
O000229,C00104,28-05-24,1561.09
O000230,C00105,27-08-24,3851.08
O000231,C00106,07-09-24,2603.88
O000232,C00107,21-04-23,2160.93
O000233,C00107,01-12-23,574.68
O000234,C00109,05-11-24,2695.15
O000235,C00109,08-07-23,1697.69
O000236,C00109,08-12-24,4000.38
O000237,C00109,11-11-24,171.05
O000238,C00113,06-03-24,2825.86
O000239,C00113,21-04-24,2137.29
O000240,C00114,10-10-24,3240.4
O000241,C00114,11-04-24,2956.53
O000242,C00115,14-08-24,3983.87
O000243,C00115,27-07-24,810.34
O000244,C00115,08-04-24,5105.11
O000245,C00116,20-08-24,2794.37
O000246,C00116,10-11-24,3246.77
O000247,C00117,11-06-23,1804.01
O000248,C00117,05-06-23,495.87
O000249,C00117,24-08-23,2202.76
O000250,C00117,04-05-23,1293.45
O000251,C00117,30-10-24,1469.02
O000252,C00118,18-10-22,825.9
O000253,C00120,10-08-22,127.86
O000254,C00120,14-11-24,662.12
O000255,C00120,03-12-23,1239.16
O000256,C00120,31-10-22,346.32
O000257,C00121,19-09-24,1516.6
O000258,C00121,27-01-24,4475.29
O000259,C00122,02-02-24,65.48
O000260,C00122,29-10-23,2057.86
O000261,C00123,07-01-24,4441.22
O000262,C00123,05-10-23,807.23
O000263,C00123,12-07-24,738.85
O000264,C00123,25-09-23,1718.78
O000265,C00123,12-11-23,768.94
O000266,C00124,01-08-23,974.2
O000267,C00124,03-07-23,988.45
O000268,C00124,12-03-24,4943.59
O000269,C00124,03-03-24,297.13
O000270,C00124,28-10-24,755.04
O000271,C00125,02-11-24,1188.52
O000272,C00125,24-09-23,370.27
O000273,C00125,11-04-24,492.15
O000274,C00126,31-12-23,512.74
O000275,C00126,24-03-24,1627.16
O000276,C00126,25-10-24,2483.65
O000277,C00126,13-10-24,3882.39
O000278,C00127,10-10-24,1743.05
O000279,C00127,26-03-24,2279.86
O000280,C00127,28-05-24,3659.57
O000281,C00128,17-06-24,2919.78
O000282,C00128,16-11-24,424.57
O000283,C00128,02-05-24,864.58
O000284,C00129,17-05-24,794.38
O000285,C00129,23-02-24,3988.8
O000286,C00129,13-08-24,4653.76
O000287,C00130,24-02-24,1124.49
O000288,C00131,26-01-24,1974.62
O000289,C00131,10-11-24,1924.1
O000290,C00131,11-10-23,1623.51
O000291,C00131,19-02-24,922.89
O000292,C00132,15-02-24,363.14
O000293,C00133,21-12-22,1882.2
O000294,C00133,19-07-23,3588.52
O000295,C00133,30-05-23,525.14
O000296,C00133,05-12-24,878.62
O000297,C00133,30-01-23,642.34
O000298,C00134,08-03-24,3317.38
O000299,C00135,02-06-24,202.14
O000300,C00135,11-02-24,32.01
O000301,C00136,14-08-23,887.71
O000302,C00136,23-11-24,1121.68
O000303,C00137,22-11-24,1981.91
O000304,C00138,14-11-24,3153.25
O000305,C00138,14-05-23,2250.48
O000306,C00138,27-07-24,2469.96
O000307,C00139,09-11-23,787.71
O000308,C00139,03-08-23,2711.09
O000309,C00139,12-04-24,3957.94
O000310,C00139,03-12-23,1273.37
O000311,C00139,16-02-23,1299.51
O000312,C00141,31-10-24,2797.34
O000313,C00142,15-08-23,2138.86
O000314,C00142,19-11-24,1628.55
O000315,C00142,09-01-23,3078.74
O000316,C00142,24-04-24,643.45
O000317,C00143,03-02-24,1281.33
O000318,C00143,10-09-23,2042.65
O000319,C00144,12-07-24,1451.87
O000320,C00145,07-04-24,1827.7
